product_id,product_name,category,price
1,Utilize Value-Added Supply-Chains,Clothing,99.17
2,Transition Dynamic Methodologies,Beauty,31.23
3,Repurpose Innovative E-Services,Electronics,1365.3
4,Matrix Mission-Critical Web Services,Beauty,38.76
5,Leverage Frictionless Paradigms,Electronics,473.49
6,Deploy Sticky Vortals,Electronics,900.35
7,Harness Dynamic E-Business,Clothing,103.73
8,Architect Impactful E-Commerce,Electronics,403.32
9,Embrace Bleeding-Edge E-Tailers,Electronics,1273.2
10,Transform Synergistic Vortals,Beauty,99.13
11,Reinvent Value-Added Interfaces,Home,340.05
12,Visualize Turn-Key Synergies,Beauty,13.43
13,Synergize Killer Bandwidth,Beauty,58.16
14,Enhance Innovative Web Services,Home,179.15
15,Transition Efficient Experiences,Home,424.57
16,Re-Intermediate Out-Of-The-Box Paradigms,Clothing,156.04
17,Optimize Killer E-Markets,Clothing,171.88
18,Monetize Rich Platforms,Clothing,182.81
19,Unleash Frictionless Portals,Home,299.76
20,Transform World-Class Functionalities,Electronics,543.86
21,Scale Integrated Methodologies,Beauty,77.33
22,Re-Contextualize Global Supply-Chains,Beauty,20.22
23,Reinvent Turn-Key Web Services,Home,208.3
24,Syndicate Innovative Supply-Chains,Beauty,96.47
25,Utilize Customized Architectures,Beauty,30.74
26,Deliver Bleeding-Edge Mindshare,Electronics,327.82
27,Benchmark Value-Added E-Services,Clothing,14.72
28,Utilize 24/7 Content,Home,232.38
29,Incentivize Cutting-Edge Action-Items,Beauty,-49.59
30,Re-Intermediate Strategic Markets,Electronics,60.61
31,Enable Out-Of-The-Box Models,Home,149.84
32,Envisioneer 24/365 Eyeballs,Electronics,968.97
33,Synergize Best-Of-Breed Experiences,Home,491.18
34,Integrate Web-Enabled Metrics,Beauty,74.24
35,Grow Open-Source Channels,Home,-384.29
36,Empower Turn-Key Experiences,Home,364.54
37,Generate Revolutionary Deliverables,Beauty,144.67
38,Generate Next-Generation Experiences,Home,435.4
39,Transition Front-End Web-Readiness,Beauty,-21.55
40,Enhance Open-Source Supply-Chains,Home,228.44
41,Incentivize Best-Of-Breed Users,Home,283.26
42,Streamline Interactive Methodologies,Beauty,145.62
43,Scale Magnetic Metrics,Home,492.52
44,Cultivate Enterprise Deliverables,Electronics,1113.94
45,Harness Viral Systems,Clothing,152.5
46,Whiteboard Clicks-And-Mortar Partnerships,Home,75.08
47,Cultivate Holistic Partnerships,Clothing,17.78
48,Aggregate Scalable Functionalities,Home,252.5
49,Orchestrate Best-Of-Breed Channels,Beauty,-147.9
50,Evolve Virtual Applications,Beauty,146.8
51,Engage Best-Of-Breed Action-Items,Clothing,-88.2
52,Deliver Strategic E-Commerce,Electronics,172.99
53,Drive Plug-And-Play Content,Beauty,85.54
54,Leverage 24/365 Action-Items,Home,463.48
55,Brand Virtual Metrics,Beauty,124.27
56,Incentivize Seamless Technologies,Electronics,590.42
57,Maximize Customized Functionalities,Electronics,120.61
58,Aggregate Real-Time Info-Mediaries,Clothing,138.31
59,Evolve Bricks-And-Clicks Interfaces,Electronics,1084.22
60,Synergize Frictionless Info-Mediaries,Home,434.75
61,Grow Cutting-Edge Mindshare,Beauty,112.22
62,Re-Intermediate User-Centric Eyeballs,Clothing,19.3
63,Transition Compelling Web-Readiness,Beauty,39.01
64,Engineer Enterprise E-Commerce,Electronics,1294.28
65,Iterate Strategic Content,Home,17.18
66,Expedite B2C Schemas,Beauty,103.21
67,Drive Virtual Portals,Home,29.36
68,Synergize Plug-And-Play Content,Beauty,134.87
69,Target Front-End Architectures,Clothing,137.61
70,Engage Compelling Partnerships,Clothing,172.03
71,Facilitate Global Info-Mediaries,Electronics,554.65
72,Aggregate B2C Solutions,Beauty,48.35
73,Implement Value-Added Mindshare,Beauty,90.6
74,Drive Out-Of-The-Box Models,Clothing,62.22
75,Strategize Next-Generation Interfaces,Clothing,178.45
76,Extend Out-Of-The-Box Architectures,Beauty,17.3
77,Synthesize Extensible Experiences,Electronics,545.79
78,Benchmark Intuitive E-Markets,Clothing,163.41
79,Matrix Robust Initiatives,Home,499.39
80,Synergize Granular Solutions,Home,212.85
81,Engineer User-Centric Portals,Clothing,36.0
82,Revolutionize Cross-Media Mindshare,Electronics,1496.49
83,Unleash Holistic Functionalities,Home,354.93
84,Scale Out-Of-The-Box Markets,Home,205.3
85,Visualize Integrated E-Commerce,Home,458.92
86,Extend Interactive Action-Items,Electronics,244.83
87,Syndicate Robust Relationships,Clothing,79.42
88,Whiteboard Proactive Web Services,Electronics,342.87
89,Visualize B2B Portals,Electronics,75.62
90,Expedite Ubiquitous Methodologies,Clothing,130.56
91,Orchestrate Dot-Com Action-Items,Clothing,75.23
92,Expedite Granular Synergies,Clothing,192.25
93,Embrace E-Business Experiences,Clothing,152.87
94,Unleash Integrated Interfaces,Home,153.0
95,Unleash Strategic Deliverables,Home,450.04
96,Redefine Dynamic E-Commerce,Clothing,71.82
97,Leverage Cutting-Edge Portals,Electronics,1368.14
98,Scale Seamless Mindshare,Clothing,151.04
99,Incubate Enterprise Applications,Home,301.51
100,Monetize Transparent Infrastructures,Home,160.2
101,Transform Cross-Media Eyeballs,Home,132.07
102,Empower Best-Of-Breed Interfaces,Clothing,39.53
103,Scale Extensible Synergies,Clothing,176.12
104,Leverage Holistic Synergies,Electronics,864.16
105,Transform Innovative E-Markets,Clothing,160.48
106,Mesh Next-Generation Experiences,Home,227.62
107,Envisioneer User-Centric Communities,Beauty,74.06
108,Reinvent Out-Of-The-Box Roi,Beauty,102.82
109,Unleash Global Solutions,Beauty,123.12
110,Synthesize Viral Mindshare,Home,396.98
111,Embrace Customized Networks,Beauty,31.85
112,Transition Killer Roi,Electronics,197.75
113,Aggregate Leading-Edge Roi,Home,331.67
114,Exploit Dynamic Portals,Clothing,107.42
115,Productize Transparent Systems,Beauty,67.78
116,Whiteboard Sticky Functionalities,Electronics,1441.67
117,Leverage Strategic Technologies,Electronics,199.35
118,Evolve Enterprise Initiatives,Clothing,56.75
119,Empower Innovative Supply-Chains,Electronics,145.02
120,Utilize Web-Enabled Info-Mediaries,Beauty,79.83
121,Synthesize Mission-Critical Synergies,Clothing,69.39
122,Streamline Real-Time Synergies,Electronics,211.82
123,Repurpose Revolutionary Platforms,Electronics,607.53
124,Architect Clicks-And-Mortar Architectures,Beauty,106.24
125,Expedite Real-Time Models,Electronics,350.18
126,Syndicate Cross-Platform Metrics,Beauty,62.15
127,Brand Cross-Platform Relationships,Clothing,89.16
128,Innovate Cross-Platform Vortals,Electronics,212.5
129,Transition Web-Enabled Relationships,Electronics,1301.01
130,Repurpose Wireless Architectures,Electronics,786.84
131,Re-Intermediate Leading-Edge Convergence,Electronics,759.78
132,Cultivate Open-Source Platforms,Electronics,675.42
133,Implement Ubiquitous Interfaces,Clothing,-158.31
134,Drive Global Web-Readiness,Clothing,59.47
135,Expedite 24/7 Deliverables,Beauty,51.76
136,Empower Interactive Relationships,Home,247.73
137,Grow Collaborative Mindshare,Electronics,1040.72
138,Deploy Dynamic Synergies,Clothing,72.84
139,Whiteboard World-Class Web-Readiness,Electronics,1399.06
140,Whiteboard Bricks-And-Clicks Paradigms,Clothing,97.55
141,Exploit World-Class Methodologies,Electronics,1081.76
142,Grow Bleeding-Edge Metrics,Electronics,118.69
143,Synthesize Wireless E-Business,Electronics,250.4
144,Generate Strategic Convergence,Electronics,63.43
145,Brand Collaborative Web Services,Beauty,32.31
146,Iterate Mission-Critical Architectures,Beauty,21.04
147,Envisioneer Dynamic Eyeballs,Electronics,949.22
148,Cultivate Robust Channels,Clothing,118.15
149,Synthesize E-Business Content,Electronics,905.78
150,E-Enable Plug-And-Play Communities,Home,17.3
151,Productize Customized Initiatives,Beauty,128.74
152,Syndicate Web-Enabled Action-Items,Home,93.93
153,Architect Frictionless Web Services,Home,389.87
154,Scale E-Business Platforms,Beauty,41.87
155,Brand Proactive Communities,Beauty,138.23
156,Re-Contextualize World-Class Architectures,Home,307.66
157,Revolutionize Efficient E-Services,Clothing,197.08
158,Drive Dot-Com Web Services,Electronics,1229.08
159,Syndicate 24/7 Web Services,Clothing,70.5
160,Enable Holistic Infrastructures,Home,306.36
161,Generate Open-Source E-Services,Beauty,36.37
162,Re-Contextualize Innovative Experiences,Home,169.05
163,Facilitate Enterprise Architectures,Clothing,24.84
164,Visualize User-Centric E-Services,Beauty,55.24
165,Enhance Back-End Initiatives,Electronics,77.6
166,Envisioneer E-Business Initiatives,Home,366.71
167,Evolve Cross-Platform Applications,Electronics,1076.73
168,Re-Contextualize Dynamic Initiatives,Clothing,70.26
169,Maximize Out-Of-The-Box Channels,Home,446.66
170,Iterate Turn-Key Architectures,Electronics,-232.74
171,Maximize Clicks-And-Mortar Content,Home,84.7
172,Streamline Dynamic Architectures,Home,98.88
173,Brand Turn-Key Relationships,Home,261.04
174,Exploit End-To-End Deliverables,Electronics,55.81
175,Repurpose Magnetic Platforms,Beauty,7.4
176,Strategize Value-Added Users,Home,298.55
177,Iterate Ubiquitous Vortals,Beauty,23.4
178,Orchestrate Distributed E-Services,Home,441.98
179,Synthesize Ubiquitous Eyeballs,Beauty,82.75
180,Expedite Front-End Eyeballs,Electronics,446.12
181,Extend Robust Metrics,Home,-39.5
182,Harness Extensible Mindshare,Clothing,-66.0
183,Scale 24/7 Niches,Home,336.86
184,Iterate Compelling Functionalities,Beauty,7.63
185,E-Enable Killer Models,Beauty,91.38
186,Envisioneer Enterprise Markets,Electronics,1317.14
187,Exploit Open-Source Eyeballs,Electronics,417.81
188,Transition Best-Of-Breed E-Services,Home,283.47
189,Scale Scalable Roi,Home,207.14
190,Iterate Holistic Interfaces,Beauty,110.24
191,Monetize Granular Web-Readiness,Home,289.96
192,Engage Impactful Supply-Chains,Clothing,196.85
193,Brand Collaborative Convergence,Beauty,65.79
194,Engineer Impactful Interfaces,Beauty,6.81
195,Optimize Front-End Technologies,Home,-401.07
196,Scale Dynamic Schemas,Clothing,87.51
197,Strategize Mission-Critical Channels,Home,60.62
198,Harness Scalable Content,Beauty,62.28
199,Target Granular Networks,Beauty,103.97
200,Enable Visionary Info-Mediaries,Clothing,192.69
